,Cluster Labels,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
39,7,Nantes,Train Station,Park,Dessert Shop,Cocktail Bar,Gym / Fitness Center,Gastropub,Garden Center,Food Truck,Farm,Wine Bar
40,8,Brno,Café,Pub,Park,Coffee Shop,Theater,Gastropub,Dessert Shop,Italian Restaurant,Cocktail Bar,Gym / Fitness Center
41,8,Gothenburg,Café,Pub,Coffee Shop,Park,Wine Bar,Bookstore,Food Truck,History Museum,Art Gallery,Scenic Lookout
42,9,Bonn,Italian Restaurant,Café,Park,Pedestrian Plaza,History Museum,Steakhouse,Cocktail Bar,Mountain,Pub,Coffee Shop
43,9,Nice,Italian Restaurant,Café,Scenic Lookout,Train Station,Park,Cocktail Bar,Pedestrian Plaza,Theater,Steakhouse,Cupcake Shop
44,9,Hanover,Italian Restaurant,Park,Coffee Shop,Café,Steakhouse,Cocktail Bar,Gastropub,Gym / Fitness Center,History Museum,Train Station
45,9,Irkutsk,Café,Coffee Shop,Cocktail Bar,Pedestrian Plaza,Garden Center,Pub,Wine Bar,Dessert Shop,Gastropub,Food Truck
46,9,Karlsruhe,Café,Italian Restaurant,Coffee Shop,Train Station,Gastropub,Park,History Museum,Scenic Lookout,Pub,Cocktail Bar
47,9,Antwerp,Coffee Shop,Italian Restaurant,Park,Gym / Fitness Center,Cocktail Bar,Farm,Café,Steakhouse,Bookstore,Cosmetics Shop
48,9,Palma de Mallorca,Café,Coffee Shop,Italian Restaurant,Cocktail Bar,Park,Steakhouse,Scenic Lookout,Wine Bar,Dessert Shop,History Museum
